team_id,coach_name,coach_nationality,tenure_start,matches,wins,draws,losses,prior_wc
MEX,Javier Aguirre,Mexico,2024-07-22,31,19,8,4,1
RSA,Hugo Broos,Belgium,2021-05-05,75,35,27,13,0
KOR,Hong Myung-bo,Korea Republic,2024-07-08,25,15,5,5,1
CZE,Miroslav Koubek,Czechia,2025-12-19,6,2,3,1,0
CAN,Jesse Marsch,United States,2024-05-13,34,15,14,5,0
BIH,Sergej Barbarez,Bosnia and Herzegovina,2024-04-19,24,8,7,9,0
QAT,Julen Lopetegui,Spain,2025-05-01,15,2,5,8,0
SUI,Murat Yakin,Switzerland,2021-08-09,61,26,22,13,1
BRA,Carlo Ancelotti,Italy,2025-05-26,10,5,2,3,0
MAR,Mohamed Ouahbi,Morocco,2026-03-05,6,4,2,0,0
HAI,Sébastien Migné,France,2024-06-01,26,13,5,8,0
SCO,Steve Clarke,Scotland,2019-05-01,80,36,16,28,0
USA,Mauricio Pochettino,Argentina,2024-09-10,28,16,2,10,0
PAR,Gustavo Alfaro,Argentina,2024-08-13,21,10,6,5,1
AUS,Tony Popovic,Australia,2024-09-23,20,11,4,5,0
TUR,Vincenzo Montella,Italy,2023-09-21,35,20,5,10,0
GER,Julian Nagelsmann,Germany,2023-09-22,35,23,6,6,0
CUW,Dick Advocaat,Netherlands,2026-05-12,24,12,7,5,1
CIV,Emerse Fae,Ivory Coast,2024-01-24,34,23,5,6,0
ECU,Sebastian Beccacece,Argentina,2024-08-01,22,8,12,2,0
NED,Ronald Koeman,Netherlands,2023-01-01,63,35,15,13,0
JPN,Hajime Moriyasu,Japan,2018-08-01,106,74,15,17,1
SWE,Graham Potter,England,2025-10-20,8,3,2,3,0
TUN,Herve Renard,France,2026-06-16,1,0,0,1,1
BEL,Rudi Garcia,France,2025-01-24,16,9,6,1,0
EGY,Hossam Hassan,Egypt,2024-02-06,33,22,7,4,0
IRN,Amir Ghalenoei,Iran,2023-03-13,47,31,11,5,0
NZL,Darren Bazeley,England,2022-11-01,35,13,7,15,0
ESP,Luis de la Fuente,Spain,2022-12-08,44,32,10,2,0
URU,Marcelo Bielsa,Argentina,2023-05-15,38,15,16,7,1
KSA,Georgios Donis,Greece,2026-04-23,5,1,2,2,0
CPV,Bubista,Cabo Verde,2020-01-28,66,31,18,17,0
FRA,Didier Deschamps,France,2012-07-08,181,117,35,29,1
SEN,Pape Thiaw,Senegal,2024-12-13,27,18,4,5,0
NOR,Ståle Solbakken,Norway,2020-12-03,58,34,12,12,0
IRQ,Graham Arnold,Australia,2025-05-09,19,9,3,7,1
ARG,Lionel Scaloni,Argentina,2018-08-03,98,71,18,9,1
ALG,Vladimir Petković,Bosnia and Herzegovina,2024-02-29,43,30,9,4,1
AUT,Ralf Rangnick,Germany,2022-04-29,48,29,8,11,0
JOR,Jamal Sellami,Morocco,2024-08-27,33,11,11,11,0
POR,Roberto Martínez,Spain,2023-01-09,42,29,8,5,1
COL,Néstor Lorenzo,Argentina,2022-07-09,47,29,11,7,0
UZB,Fabio Cannavaro,Italy,2025-10-06,10,3,2,5,0
COD,Sébastien Desabre,France,2022-08-22,49,25,14,10,0
ENG,Thomas Tuchel,Germany,2025-01-01,15,11,2,2,0
CRO,Zlatko Dalić,Croatia,2017-10-07,108,55,26,27,1
GHA,Carlos Queiroz,Portugal,2026-04-13,2,1,1,0,1
PAN,Thomas Christiansen,Spain,2020-07-23,91,43,22,26,0
